Region,Year,"Number_thousands","Median_income_Current_dollars","Median_income_2023_dollars","Mean_income_Current_dollars","Mean_income_2023_dollars"
West,1988,"18,980","28,840","67,280","35,820","83,590"
West,1987 (21),"18,490","27,870","67,440","34,840","84,290"
West,1986,"18,010","27,000","67,540","33,040","82,650"
West,1985 (20),"17,740","25,780","65,550","31,480","80,030"
West,1984 (19),"17,160","24,460","64,300","29,450","77,430"
West,1983,"16,940","22,220","60,860","26,970","73,860"
West,1982,"16,540","21,190","60,480","25,910","73,960"
West,1981,"16,350","20,440","61,880","24,340","73,660"
West,1980,"16,170","19,010","63,030","22,670","75,160"
West,1979 (18),"15,780","17,450","64,230","20,850","76,750"
West,1978,"14,810","15,510","62,520","18,670","75,240"
West,1977,"14,300","13,980","60,200","16,630","71,600"
West,1976 (17),"13,990","13,040","59,780","15,490","71,000"
West,1975 (16),"13,780","12,190","59,070","14,190","68,770"
